[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4495883346758125, -0.39921495995920914, 1.1199231006016561] [0.0016718801917234988, -0.006552531399295647, 0.0005120022017840106, -0.9999770032368896] 4534132000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4495883346758125, -0.39921495995920914, 1.1199231006016561] [0.0016718801917234988, -0.006552531399295647, 0.0005120022017840106, -0.9999770032368896] 4534134000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4495883346758125, -0.39921495995920914, 1.1199231006016561] [0.0016718801917234988, -0.006552531399295647, 0.0005120022017840106, -0.9999770032368896] 4534144000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44958961311667905, -0.3992152827283704, 1.119915686873346] [0.001671821412295297, -0.006551330537686911, 0.0005118490830189823, -0.9999770112816933] 4534154000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44958961311667905, -0.3992152827283704, 1.119915686873346] [0.001671821412295297, -0.006551330537686911, 0.0005118490830189823, -0.9999770112816933] 4534164000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4495907730542647, -0.3992155609954202, 1.1199089648574205] [0.0016717650684393015, -0.0065502315300402375, 0.0005116943616000208, -0.9999770186545983] 4534174000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4495907730542647, -0.3992155609954202, 1.1199089648574205] [0.0016717650684393015, -0.0065502315300402375, 0.0005116943616000208, -0.9999770186545983] 4534184000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4495919201237465, -0.3992158370867995, 1.1199022595283135] [0.001671705621402116, -0.006549125908637626, 0.000511538872067667, -0.9999770260751647] 4534194000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4495919201237465, -0.3992158370867995, 1.1199022595283135] [0.001671705621402116, -0.006549125908637626, 0.000511538872067667, -0.9999770260751647] 4534204000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4495919201237465, -0.3992158370867995, 1.1199022595283135] [0.001671705621402116, -0.006549125908637626, 0.000511538872067667, -0.9999770260751647] 4534214000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4495919201237465, -0.3992158370867995, 1.1199022595283135] [0.001671705621402116, -0.006549125908637626, 0.000511538872067667, -0.9999770260751647] 4534224000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4495919201237465, -0.3992158370867995, 1.1199022595283135] [0.001671705621402116, -0.006549125908637626, 0.000511538872067667, -0.9999770260751647] 4534234000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4495919201237465, -0.3992158370867995, 1.1199022595283135] [0.001671705621402116, -0.006549125908637626, 0.000511538872067667, -0.9999770260751647] 4534244000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4495919201237465, -0.3992158370867995, 1.1199022595283135] [0.001671705621402116, -0.006549125908637626, 0.000511538872067667, -0.9999770260751647] 4534254000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44959465196003073, -0.39921676111767535, 1.119884902847797] [0.0016715371083456272, -0.006546226881409606, 0.0005113734684953145, -0.9999770454237877] 4534264000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44959465196003073, -0.39921676111767535, 1.119884902847797] [0.0016715371083456272, -0.006546226881409606, 0.0005113734684953145, -0.9999770454237877] 4534274000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44959465196003073, -0.39921676111767535, 1.119884902847797] [0.0016715371083456272, -0.006546226881409606, 0.0005113734684953145, -0.9999770454237877] 4534284000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44959465196003073, -0.39921676111767535, 1.119884902847797] [0.0016715371083456272, -0.006546226881409606, 0.0005113734684953145, -0.9999770454237877] 4534294000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44959723289385245, -0.39921745145905374, 1.119868976524871] [0.0016713690307114323, -0.006543513421114569, 0.0005110475861437036, -0.9999770636309788] 4534308000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44959723289385245, -0.39921745145905374, 1.119868976524871] [0.0016713690307114323, -0.006543513421114569, 0.0005110475861437036, -0.9999770636309788] 4534314000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44959723289385245, -0.39921745145905374, 1.119868976524871] [0.0016713690307114323, -0.006543513421114569, 0.0005110475861437036, -0.9999770636309788] 4534324000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44959723289385245, -0.39921745145905374, 1.119868976524871] [0.0016713690307114323, -0.006543513421114569, 0.0005110475861437036, -0.9999770636309788] 4534334000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44959983881797616, -0.39921816799295146, 1.1198524807304742] [0.0016711807783448408, -0.0065406497313863395, 0.000510713417614328, -0.9999770828512538] 4534346000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44959983881797616, -0.39921816799295146, 1.1198524807304742] [0.0016711807783448408, -0.0065406497313863395, 0.000510713417614328, -0.9999770828512538] 4534356000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44959983881797616, -0.39921816799295146, 1.1198524807304742] [0.0016711807783448408, -0.0065406497313863395, 0.000510713417614328, -0.9999770828512538] 4534364000000
