[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523827106838361, -0.3997578687496953, 1.104490434273714] [-0.0002702154014816912, -0.0015492783379662952, -0.00024184716584118443, -0.999998734114307] 3131572000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523827106838361, -0.3997578687496953, 1.104490434273714] [-0.0002702154014816912, -0.0015492783379662952, -0.00024184716584118443, -0.999998734114307] 3131572000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523795170055177, -0.39976276043315856, 1.1044808709050726] [-0.0002691939833098833, -0.0015435255133412643, -0.00024344600346778988, -0.999998742898026] 3131584000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523795170055177, -0.39976276043315856, 1.1044808709050726] [-0.0002691939833098833, -0.0015435255133412643, -0.00024344600346778988, -0.999998742898026] 3131592000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.452376323481223, -0.3997676168739449, 1.104471250310952] [-0.0002682492168003411, -0.0015378685562442839, -0.0002449847259989868, -0.9999987514917937] 3131602000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.452376323481223, -0.3997676168739449, 1.104471250310952] [-0.0002682492168003411, -0.0015378685562442839, -0.0002449847259989868, -0.9999987514917937] 3131612000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45237340043582697, -0.3997720161451431, 1.1044625443447509] [-0.00026746095654093665, -0.0015328583414719326, -0.0002462537859489536, -0.9999987590837376] 3131622000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45237340043582697, -0.3997720161451431, 1.1044625443447509] [-0.00026746095654093665, -0.0015328583414719326, -0.0002462537859489536, -0.9999987590837376] 3131632000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45236993475270015, -0.399777242205084, 1.1044518447312812] [-0.00026657094030851144, -0.001526837981822938, -0.00024787072460451254, -0.9999987681321484] 3131642000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45236993475270015, -0.399777242205084, 1.1044518447312812] [-0.00026657094030851144, -0.001526837981822938, -0.00024787072460451254, -0.9999987681321484] 3131652000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523664681331466, -0.3997824409336301, 1.1044410826345832] [-0.0002657564085097117, -0.001520929886002877, -0.00024940913384496194, -0.9999987769697011] 3131662000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4523664681331466, -0.3997824409336301, 1.1044410826345832] [-0.0002657564085097117, -0.001520929886002877, -0.00024940913384496194, -0.9999987769697011] 3131672000000
