[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45151317780980016, -0.40060707982752536, 1.1030256580144193] [-0.00024136906538155018, -0.0010454184719156346, -5.859540148662329e-05, -0.9999994227037192] 3263172000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45151317780980016, -0.40060707982752536, 1.1030256580144193] [-0.00024136906538155018, -0.0010454184719156346, -5.859540148662329e-05, -0.9999994227037192] 3263172000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4515109906011465, -0.4006064880541161, 1.103024043880014] [-0.00024111266601383385, -0.0010449702203239517, -5.8536023674421456e-05, -0.9999994232375609] 3263182000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4515109906011465, -0.4006064880541161, 1.103024043880014] [-0.00024111266601383385, -0.0010449702203239517, -5.8536023674421456e-05, -0.9999994232375609] 3263192000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4515090033506272, -0.40060594876676403, 1.1030225783465404] [-0.00024088010340432014, -0.0010445632740392872, -5.84819388240454e-05, -0.9999994237219368] 3263202000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4515090033506272, -0.40060594876676403, 1.1030225783465404] [-0.00024088010340432014, -0.0010445632740392872, -5.84819388240454e-05, -0.9999994237219368] 3263212000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4515090033506272, -0.40060594876676403, 1.1030225783465404] [-0.00024088010340432014, -0.0010445632740392872, -5.84819388240454e-05, -0.9999994237219368] 3263222000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4515090033506272, -0.40060594876676403, 1.1030225783465404] [-0.00024088010340432014, -0.0010445632740392872, -5.84819388240454e-05, -0.9999994237219368] 3263232000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4515090033506272, -0.40060594876676403, 1.1030225783465404] [-0.00024088010340432014, -0.0010445632740392872, -5.84819388240454e-05, -0.9999994237219368] 3263242000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4515090033506272, -0.40060594876676403, 1.1030225783465404] [-0.00024088010340432014, -0.0010445632740392872, -5.84819388240454e-05, -0.9999994237219368] 3263252000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45150403993034777, -0.4006045951851702, 1.103018922209047] [-0.0002403008772899547, -0.0010435481948734145, -5.834630039874833e-05, -0.9999994249290157] 3263262000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45150403993034777, -0.4006045951851702, 1.103018922209047] [-0.0002403008772899547, -0.0010435481948734145, -5.834630039874833e-05, -0.9999994249290157] 3263272000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45150403993034777, -0.4006045951851702, 1.103018922209047] [-0.0002403008772899547, -0.0010435481948734145, -5.834630039874833e-05, -0.9999994249290157] 3263282000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45150403993034777, -0.4006045951851702, 1.103018922209047] [-0.0002403008772899547, -0.0010435481948734145, -5.834630039874833e-05, -0.9999994249290157] 3263292000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.45150403993034777, -0.4006045951851702, 1.103018922209047] [-0.0002403008772899547, -0.0010435481948734145, -5.834630039874833e-05, -0.9999994249290157] 3263302000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4514988851777736, -0.4006031795277679, 1.1030151313768433] [-0.0002397017640715061, -0.0010424959576734983, -5.8204612651893695e-05, -0.9999994261785683] 3263312000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4514988851777736, -0.4006031795277679, 1.1030151313768433] [-0.0002397017640715061, -0.0010424959576734983, -5.8204612651893695e-05, -0.9999994261785683] 3263322000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4514988851777736, -0.4006031795277679, 1.1030151313768433] [-0.0002397017640715061, -0.0010424959576734983, -5.8204612651893695e-05, -0.9999994261785683] 3263332000000
