[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44911269484821326, -0.40125542572982664, 1.1136494782637985] [0.00268811304008779, -0.005497996678936061, -2.7307336825545606e-05, -0.9999812724921958] 4922098000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44911269484821326, -0.40125542572982664, 1.1136494782637985] [0.00268811304008779, -0.005497996678936061, -2.7307336825545606e-05, -0.9999812724921958] 4922098000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44911450080875354, -0.40125688227620904, 1.1136494238445513] [0.0026882707332210425, -0.005498012242666965, -2.7409323404378738e-05, -0.9999812719799175] 4922108000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44911450080875354, -0.40125688227620904, 1.1136494238445513] [0.0026882707332210425, -0.005498012242666965, -2.7409323404378738e-05, -0.9999812719799175] 4922118000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44911450080875354, -0.40125688227620904, 1.1136494238445513] [0.0026882707332210425, -0.005498012242666965, -2.7409323404378738e-05, -0.9999812719799175] 4922128000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44911450080875354, -0.40125688227620904, 1.1136494238445513] [0.0026882707332210425, -0.005498012242666965, -2.7409323404378738e-05, -0.9999812719799175] 4922138000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44911450080875354, -0.40125688227620904, 1.1136494238445513] [0.0026882707332210425, -0.005498012242666965, -2.7409323404378738e-05, -0.9999812719799175] 4922148000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44911719054055366, -0.4012588217494373, 1.1136493463133819] [0.0026884956470271887, -0.005498033679336274, -2.769938806046479e-05, -0.9999812712493975] 4922158000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44911719054055366, -0.4012588217494373, 1.1136493463133819] [0.0026884956470271887, -0.005498033679336274, -2.769938806046479e-05, -0.9999812712493975] 4922168000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44911719054055366, -0.4012588217494373, 1.1136493463133819] [0.0026884956470271887, -0.005498033679336274, -2.769938806046479e-05, -0.9999812712493975] 4922178000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44911719054055366, -0.4012588217494373, 1.1136493463133819] [0.0026884956470271887, -0.005498033679336274, -2.769938806046479e-05, -0.9999812712493975] 4922188000000
