[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4485840105962986, -0.3986122230624494, 1.1092710753227917] [-0.0001913131437859645, -0.0037372632571887584, 0.00014449445507543762, -0.9999929876674036] 3060026000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4485840105962986, -0.3986122230624494, 1.1092710753227917] [-0.0001913131437859645, -0.0037372632571887584, 0.00014449445507543762, -0.9999929876674036] 3060026000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44858517233405737, -0.3986135190784967, 1.1092627800944728] [-0.00019134269212432915, -0.0037339283621847124, 0.00014419474599410703, -0.999993000162919] 3060036000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44858517233405737, -0.3986135190784967, 1.1092627800944728] [-0.00019134269212432915, -0.0037339283621847124, 0.00014419474599410703, -0.999993000162919] 3060046000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44858611281202815, -0.3986148210484635, 1.1092552524276733] [-0.00019137075413420892, -0.003730899652386115, 0.0001440846463832135, -0.9999930114778972] 3060056000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44858611281202815, -0.3986148210484635, 1.1092552524276733] [-0.00019137075413420892, -0.003730899652386115, 0.0001440846463832135, -0.9999930114778972] 3060066000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44858705080441097, -0.39861612362527094, 1.1092477374924885] [-0.0001913979167957988, -0.003727875561494331, 0.0001439711654132661, -0.9999930227671285] 3060076000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.44858705080441097, -0.39861612362527094, 1.1092477374924885] [-0.0001913979167957988, -0.003727875561494331, 0.0001439711654132661, -0.9999930227671285] 3060086000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4485878948501164, -0.39861729425548026, 1.1092409851741487] [-0.00019142149550312393, -0.0037251592940727076, 0.00014386044006430704, -0.9999930329008395] 3060096000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4485878948501164, -0.39861729425548026, 1.1092409851741487] [-0.00019142149550312393, -0.0037251592940727076, 0.00014386044006430704, -0.9999930329008395] 3060106000000
[0.45, -0.4, 1.1] [0.0, 0.0, 0.0, 1.0] [0.4485878948501164, -0.39861729425548026, 1.1092409851741487] [-0.00019142149550312393, -0.0037251592940727076, 0.00014386044006430704, -0.9999930329008395] 3060116000000
